LISTING_NEIGHBOURHOOD,MONTH_YEAR,MAXIMUM_PRICE,MINIMUM_PRICE,MEDIAN_PRICE,AVERAGE_PRICE,DISTINCT_HOST,SUPERHOST_RATE,AVG_REVIEW_SCORES_RATINGS,PERCENTAGE_CHANGE_FOR_ACTIVE_LISTING,PERCENTAGE_CHANGE_FOR_INACTIVE_LISTING,TOTAL_NUMBER_OF_STAYS,AVG_ESTIMATED_REVENUE
Campbelltown,1/08/2020,2500,25,80.5,149.1276596,68,29.7872,92.506849,-16.81,,41055,1733.042553
Canada Bay,1/08/2020,1450,25,102,148.8939776,310,10.3641,94,-15.8,,121839,2866.27535
Canterbury-Bankstown,1/08/2020,850,13,70,93.40958707,429,12.7469,90.597059,-11.87,,306618,1225.362639
Cumberland,1/08/2020,15000,15,85,151.1817647,318,15.7647,91.171053,-14.83,,115665,3064.957153
Fairfield,1/08/2020,840,20,78,90.57303371,53,14.6067,89.283582,-13.59,,27048,903.4831461
Georges River,1/08/2020,997,25,75,104.2620225,272,17.1348,92.738739,-14.01,,105519,1689.794101
Hornsby,1/08/2020,5000,20,85,155.3230958,296,26.0442,93.438095,-10.94,,226644,2310.975848
Hunters Hill,1/08/2020,1100,30,155,252.9555556,45,8.8889,95.242424,-15.09,,5322,5180.444444
Inner West,1/08/2020,9021,17,99,159.9600049,1700,16.5935,93.502373,-11.6,,835259,3126.446437
Lane Cove,1/08/2020,2073,32,105,207.9236364,203,14.1818,92.130682,-14.86,,42273,3887.917091
Liverpool,1/08/2020,530,29,85,113.972028,106,22.3776,92.536082,-7.74,,59976,1288.433566
Mosman,1/08/2020,13936,30,200,428.758451,305,14.123,94.902778,-10.77,,8890,8476.180091
North Sydney,1/08/2020,14589,26,128,202.8356266,873,16.1625,93.933251,-12.15,,292396,3787.444883
Northern Beaches,1/08/2020,10000,15,190,332.2283501,3651,18.4488,95.083227,-10.06,,5218521,6307.755703
Parramatta,1/08/2020,3000,20,80,113.7517131,369,15.7371,89.863057,-12.24,,300255,1695.173825
Penrith,1/08/2020,1500,24,100,152.6794872,105,31.4103,95.559322,-11.36,,45600,1489.041474
Randwick,1/08/2020,10000,11,110,187.2896003,2231,10.9921,92.373227,-12.52,,922440,3798.795128
Ryde,1/08/2020,829,16,79,98.89728464,413,16.2921,92.777778,-20.65,,121810,1686.50588
Strathfield,1/08/2020,4567,20,70,133.1828571,134,17.1429,88.475,-14.63,,4780,1173.314286
Sutherland Shire,1/08/2020,1500,24,132.5,199.1530335,426,31.3808,95.922652,-9.64,,373674,3879.59954
Sydney,1/08/2020,14315,11,113,159.4499174,5210,16.1882,92.604314,-15.43,,3875525,3056.582937
The Hills Shire,1/08/2020,9999,25,79.5,195.9078947,244,19.4079,92.980583,-6.75,,46266,1602.284737
Waverley,1/08/2020,10000,14,149,228.6427786,3518,10.1944,93.988026,-14.15,,1079419,5016.962639
Willoughby,1/08/2020,14568,24,104,199.5237045,348,9.2077,91.903846,-11.39,,78430,3916.37666
Woollahra,1/08/2020,9501,28,150,310.7494461,1094,11.0774,93.71362,-11.25,,201586,6238.583581
Bayside,1/09/2020,2903.71,17,79,109.0278506,1157,14.4156,91.960784,11.59,,863940,1961.637981
Blacktown,1/09/2020,2000,20,60,95.00595156,220,14.1869,90.697143,2.48,,198770,1179.457509
